scheme_code,scheme_name,fund_house,category_group,sharpe_3y,quality_score
120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,Equity,1.0519633176178134,95.0
149167,Axis Value Fund - Regular Plan - Growth,Axis Mutual Fund,Equity,0.8458067340491463,94.8
147919,ITI Small Cap Fund - Direct Plan - Growth Option,ITI Mutual Fund,Equity,1.0107830366897508,94.7
151130,HSBC Small Cap Fund - Direct Growth,HSBC Mutual Fund,Equity,0.6142603122600951,94.2
145677,BANK OF INDIA Small Cap Fund Regular Plan Growth,Bank of India Mutual Fund,Equity,0.8544600778264844,94.2
151750,HDFC Defence Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Equity,1.4052095479249689,93.8
150347,WhiteOak Capital Flexi Cap Fund Regular Plan-Growth,WhiteOak Capital Mutual Fund,Equity,0.7327422288081845,93.1
113099,SBI PSU Fund - REGULAR PLAN -Growth,SBI Mutual Fund,Equity,0.93411354377426,92.8
119581,Sundaram Mid Cap Fund Direct Plan - Growth,Sundaram Mutual Fund,Equity,0.9589614393746096,92.5
150387,Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,Equity,0.6237419987022643,92.4
151186,Aditya Birla Sun Life Fixed Term Plan - Series UB (1224 days) - Direct Plan Growth Option,Aditya Birla Sun Life Mutual Fund,Debt,1.234049097710047,93.8
150885,DSP FMP Series - 268 - 1281 Days - Direct - Growth,DSP Mutual Fund,Debt,1.5276516734548482,93.0
150316,Aditya Birla Sun Life Fixed Term Plan - Series TQ (1879 days) - Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Debt,1.078181808535606,91.2
151564,HDFC FMP 1269D March 2023 - Growth Option,HDFC Mutual Fund,Debt,1.191669057778309,90.4
150884,DSP FMP Series - 268 - 1281 Days - Regular - Growth,DSP Mutual Fund,Debt,1.2879797942337383,90.4
